"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","425","Login with invalid credentials","tests","Wed Jul 09 14:06:20 EEST 2025","passed","Wed Jul 09 14:06:21 EEST 2025","TestUserLogin","test_user_login","",""
"","406","Create order with invalid ingredient hash","tests","Wed Jul 09 14:06:11 EEST 2025","passed","Wed Jul 09 14:06:11 EEST 2025","TestCreateOrder","test_create_order","",""
"","2836","Create order with authorization","tests","Wed Jul 09 14:06:06 EEST 2025","passed","Wed Jul 09 14:06:09 EEST 2025","TestCreateOrder","test_create_order","",""
"","921","Тестирование регистрации дублирующегося пользователя","tests","Wed Jul 09 14:06:21 EEST 2025","passed","Wed Jul 09 14:06:22 EEST 2025","TestUserRegistration","test_user_register","",""
"","405","Retrieve user orders without authorization","tests","Wed Jul 09 14:06:16 EEST 2025","passed","Wed Jul 09 14:06:16 EEST 2025","TestRetrieveOrderInfo","test_retrieve_order_info","",""
"","398","Create order without ingredients","tests","Wed Jul 09 14:06:10 EEST 2025","passed","Wed Jul 09 14:06:11 EEST 2025","TestCreateOrder","test_create_order","",""
"","406","Тестирование регистрации пользователя без обязательного поля","tests","Wed Jul 09 14:06:22 EEST 2025","passed","Wed Jul 09 14:06:22 EEST 2025","TestUserRegistration","test_user_register","",""
"","414","Create order without authorization","tests","Wed Jul 09 14:06:10 EEST 2025","passed","Wed Jul 09 14:06:10 EEST 2025","TestCreateOrder","test_create_order","",""
"","406","Change user data without authorization","tests","Wed Jul 09 14:06:18 EEST 2025","passed","Wed Jul 09 14:06:19 EEST 2025","TestUserDataChange","test_user_data_change","",""
"","743","Retrieve user orders with authorization","tests","Wed Jul 09 14:06:14 EEST 2025","passed","Wed Jul 09 14:06:15 EEST 2025","TestRetrieveOrderInfo","test_retrieve_order_info","",""
"","406","Change user data with authorization","tests","Wed Jul 09 14:06:17 EEST 2025","passed","Wed Jul 09 14:06:17 EEST 2025","TestUserDataChange","test_user_data_change","",""
"","463","Login with valid credentials","tests","Wed Jul 09 14:06:19 EEST 2025","passed","Wed Jul 09 14:06:19 EEST 2025","TestUserLogin","test_user_login","",""
"","475","Тестирование регистрации пользователя","tests","Wed Jul 09 14:06:21 EEST 2025","passed","Wed Jul 09 14:06:21 EEST 2025","TestUserRegistration","test_user_register","",""
